event_type,element_id,timestamp,url,phase,username,hover_duration_ms,pasted_content,message,group,highlighted_text
source-link-hover-end,source-link,2026-06-27 13:25:29.82561+00,https://de.wikipedia.org/wiki/Hubble-Weltraumteleskop,part1,p_17,50188.0,,,,
source-link-click,source-link,2026-06-27 13:34:07.381738+00,https://de.wikipedia.org/wiki/Ellsberg-Paradoxon,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:34:44.502775+00,https://de.wikipedia.org/wiki/Ellsberg-Paradoxon,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:30:35.247257+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,501.0,,,,
paste,chat-input,2026-06-27 13:36:49.55042+00,,part2,p_17,,Wie lange dauert ein regulärer Umlauf des Halleyschen Kometen um die Sonne ungefähr?,,,
source-link-hover-start,source-link,2026-06-27 13:37:07.519999+00,https://www.britannica.com/topic/Halleys-Comet,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:42:15.972855+00,https://de.wikipedia.org/wiki/Global_Positioning_System,part2,p_17,329.0,,,,
source-link-hover-end,source-link,2026-06-27 13:34:44.48549+00,https://plato.stanford.edu/entries/decision-theory/,part2,p_17,200.0,,,,
source-link-click,source-link,2026-06-27 13:31:02.249234+00,https://www.iso.org/standard/7472.html,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:30:15.196573+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,327.0,,,,
message-send,chat-input,2026-06-27 13:10:13.638911+00,,part1,p_17,,,Welche Zahl gehört zur heutigen SI-Definition der Sekunde über Caesium-133?,,
paste,chat-input,2026-06-27 13:25:30.988219+00,,part1,p_17,,"Wie tief ist das Challenger Deep im Marianengraben ungefähr?
*",,,
source-link-click,source-link,2026-06-27 13:40:21.088329+00,https://de.wikipedia.org/wiki/Universal_Product_Code,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:38:45.978536+00,https://de.wikipedia.org/wiki/Sol_(Tag),part2,p_17,,,,,
source-link-click,highlight-source-seg_185,2026-06-27 13:20:01.467391+00,https://science.nasa.gov/venus/venus-facts/,part1,p_17,,,,,
copy,message-1782566101791,2026-06-27 13:16:39.423194+00,,part1,p_17,,,,,
message-send,chat-input,2026-06-27 13:22:29.164945+00,,part1,p_17,,,"Wie groß ist die durchschnittliche Entfernung zwischen Erde und Mond?
*",,
source-link-hover-end,source-link,2026-06-27 13:34:21.394806+00,https://de.wikipedia.org/wiki/Ellsberg-Paradoxon,part2,p_17,183.0,,,,
source-link-hover-start,source-link,2026-06-27 13:34:06.872651+00,https://de.wikipedia.org/wiki/Ellsberg-Paradoxon,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:34:07.531085+00,https://de.wikipedia.org/wiki/Ellsberg-Paradoxon,part2,p_17,849.0,,,,
source-link-hover-end,source-link,2026-06-27 13:10:51.159657+00,https://www.bipm.org/en/measurement-units/base-units,part1,p_17,6559.0,,,,
source-link-hover-end,source-link,2026-06-27 13:30:36.086905+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,71.0,,,,
source-link-hover-end,source-link,2026-06-27 13:14:54.707964+00,https://www.bipm.org/en/measurement-units/base-units,part1,p_17,17.0,,,,
source-link-click,source-link,2026-06-27 13:10:44.755133+00,https://www.bipm.org/en/measurement-units/base-units,part1,p_17,,,,,
paste,chat-input,2026-06-27 13:29:51.768687+00,,part2,p_17,,"Welcher Druck entspricht einer Standardatmosphäre?
*",,,
source-link-hover-start,source-link,2026-06-27 13:25:53.877714+00,https://de.wikipedia.org/wiki/Marianengraben,part1,p_17,,,,,
source-link-hover-end,highlight-source-seg_185,2026-06-27 13:20:13.973532+00,https://science.nasa.gov/venus/venus-facts/,part1,p_17,12861.0,,,,
source-link-hover-start,source-link,2026-06-27 13:42:15.707277+00,https://de.wikipedia.org/wiki/Global_Positioning_System,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:40:34.435312+00,https://de.wikipedia.org/wiki/Universal_Product_Code,part2,p_17,,,,,
source-link-click,source-link,2026-06-27 13:37:41.080826+00,https://de.wikipedia.org/wiki/Halleyscher_Komet,part2,p_17,,,,,
source-link-hover-end,highlight-source-seg_153,2026-06-27 13:15:37.188573+00,https://de.wikipedia.org/wiki/Jevons-Paradoxon,part1,p_17,925.0,,,,
source-link-hover-end,highlight-source-seg_153,2026-06-27 13:16:23.164829+00,https://de.wikipedia.org/wiki/Jevons-Paradoxon,part1,p_17,17.0,,,,
source-link-hover-end,source-link,2026-06-27 13:20:36.593916+00,https://de.wikipedia.org/wiki/Venus_(Planet),part1,p_17,16136.0,,,,
source-link-hover-end,source-link,2026-06-27 13:37:41.315837+00,https://de.wikipedia.org/wiki/Halleyscher_Komet,part2,p_17,566.0,,,,
source-link-hover-end,source-link,2026-06-27 13:30:08.597013+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,3684.0,,,,
source-link-hover-start,source-link,2026-06-27 13:30:05.078908+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:25:53.807145+00,https://oceanexplorer.noaa.gov/,part1,p_17,101.0,,,,
source-link-hover-start,source-link,2026-06-27 13:34:44.305126+00,https://plato.stanford.edu/entries/decision-theory/,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:34:21.149244+00,https://de.wikipedia.org/wiki/Ellsberg-Paradoxon,part2,p_17,20.0,,,,
message-send,chat-input,2026-06-27 13:33:40.468779+00,,part2,p_17,,,"Beschreibe das Ellsberg-Paradoxon in der Entscheidungstheorie.
*",,
paste,chat-input,2026-06-27 13:24:22.487681+00,,part1,p_17,,Welchen Durchmesser hat der Primärspiegel des Hubble-Weltraumteleskops?,,,
source-link-hover-start,source-link,2026-06-27 13:31:02.19065+00,https://www.iso.org/standard/7472.html,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:30:54.656776+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:26:33.785372+00,https://oceanexplorer.noaa.gov/,part1,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:29:49.214535+00,https://de.wikipedia.org/wiki/Avogadro-Konstante,part2,p_17,,,,,
source-link-click,source-link,2026-06-27 13:08:37.236474+00,https://de.wikipedia.org/wiki/Plancksches_Wirkungsquantum,part1,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:09:49.148521+00,https://de.wikipedia.org/wiki/Plancksches_Wirkungsquantum,part1,p_17,181.0,,,,
source-link-click,source-link,2026-06-27 13:10:40.95255+00,https://de.wikipedia.org/wiki/Sekunde,part1,p_17,,,,,
paste,chat-input,2026-06-27 13:08:11.887612+00,,part1,p_17,,Welcher exakte Zahlenwert definiert seit der SI-Neudefinition die Planck-Konstante h?,,,
source-link-hover-start,source-link,2026-06-27 13:30:54.020916+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:30:34.746959+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:25:53.728487+00,https://oceanexplorer.noaa.gov/,part1,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:09:48.976851+00,https://de.wikipedia.org/wiki/Plancksches_Wirkungsquantum,part1,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:26:09.150134+00,https://oceanexplorer.noaa.gov/,part1,p_17,16.0,,,,
source-link-hover-end,source-link,2026-06-27 13:10:41.184412+00,https://de.wikipedia.org/wiki/Sekunde,part1,p_17,546.0,,,,
source-link-hover-start,source-link,2026-06-27 13:10:43.761261+00,https://www.bipm.org/en/measurement-units/base-units,part1,p_17,,,,,
message-send,chat-input,2026-06-27 13:11:57.216522+00,,part1,p_17,,,Ist die Periodendauer in Hz angegeben?,,
source-link-click,highlight-source-seg_153,2026-06-27 13:15:36.954908+00,https://de.wikipedia.org/wiki/Jevons-Paradoxon,part1,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:10:44.407232+00,https://www.bipm.org/en/measurement-units/base-units,part1,p_17,,,,,
paste,chat-input,2026-06-27 13:40:07.698165+00,,part2,p_17,,Welches Produkt wurde 1974 als erstes mit einem UPC-Barcode an einer Supermarktkasse gescannt?,,,
paste,chat-input,2026-06-27 13:33:40.282479+00,,part2,p_17,,"Beschreibe das Ellsberg-Paradoxon in der Entscheidungstheorie.
*
",,,
