timestamp,username,age,student_status,opt_feedback,group,hl_order,nfc_q1,nfc_q2,nfc_q3,nfc_q4,tias_0_q1,tias_0_q2,tias_0_q3,tias_1_q1,tias_1_q2,tias_1_q3,tias_2_q1,tias_2_q2,tias_2_q3,a_q1,a_q1_conf,a_q2,a_q2_conf,a_q3_text,a_q3,a_q3_conf,a_q4,a_q4_conf,a_q5,a_q5_conf,a_q6,a_q6_conf,a_q7,a_q7_conf,b_q1,b_q1_conf,b_q2,b_q2_conf,b_q3_text,b_q3,b_q3_conf,b_q4,b_q4_conf,b_q5,b_q5_conf,b_q6,b_q6_conf,b_q7,b_q7_conf
2026/06/12 12:31:45 PM OESZ,1234,25 bis 34,master,,4,2,4,4,4,2,4,3,2,4,4,5,5,5,5,richtig,4,falsch,4,"Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie, das zeigt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben.",falsch,4,falsch,4,richtig,4,falsch,4,falsch,4,richtig,3,richtig,3,"Das Jevons-Paradoxon besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen.",falsch,3,falsch,3,falsch,1,falsch,4,falsch,4
2026/06/15 12:41:27 PM OESZ,Ahmet,18 bis 24,bachelor,,4,2,4,5,6,7,5,5,5,4,4,5,6,6,6,richtig,4,bekannt, ,"Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie, das zeigt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben.",falsch,5,falsch,6,richtig,3,bekannt, ,falsch,4,richtig,2,richtig,4,"as Jevons-Paradoxon besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen. Wenn eine Ressource effizienter genutzt werden kann, sinken haeufig die Kosten pro Nutzung.",falsch,5,falsch,3,bekannt, ,falsch,4,bekannt, 
2026/06/15 7:03:30 PM OESZ,Zitrone,25 bis 34,bachelor,,4,2,2,5,3,3,4,4,4,5,5,5,5,5,5,richtig,6,richtig,5,"Menschen waehlen in unsicheren Situationen haeufig ein Risiko, dessen Wahrscheinlichkeit sie kennen, auch wenn die wahrgenommenen Wahrscheinlichkeiten konstant gehalten werden.",falsch,5,richtig,6,richtig,5,richtig,4,richtig,5,richtig,6,richtig,5,"Wenn attraktive Effizienzmassnahmen eingefuehrt werden, kann dies dazu fuehren, dass ein Element haeufiger genutzt wird und somit dem Zweck von mehr Effizienz entgegenwirken.",richtig,7,richtig,3,falsch,7,richtig,5,richtig,6
2026/06/12 12:11:15 PM OESZ,Lale,18 bis 24,bachelor,,3,1,6,1,2,4,5,4,4,4,4,4,4,4,5,richtig,6,andere,5,"Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie, das zeigt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben..",falsch,6,bekannt, ,richtig,5,falsch,6,falsch,5,richtig,5,richtig,5,"Das Paradoxon zeigt, dass technische Effizienz allein oft nicht ausreicht, um den Ressourcenverbrauch oder CO2-Ausstoss im erwarteten Umfang zu senken. Effizienzmassnahmen koennen zwar den Verbrauch pro Nutzungseinheit reduzieren, aber ein Teil dieses Effekts kann durch veraendertes Verhalten, sinkende Kosten und steigende Nachfrage wieder verloren gehen.",falsch,5,falsch,2,bekannt, ,richtig,2,bekannt, 
2026/06/15 3:16:19 PM OESZ,Raya,25 bis 34,bachelor,,3,1,2,3,4,2,4,4,5,3,3,4,3,5,3,richtig,5,falsch,2,Das Ellsberg-Paradoxon stellte wichtige Modelle der klassischen Oekonomie infrage und fuehrte zur Entwicklung alternativer Theorien des Entscheidungsverhaltens unter Unsicherheit.,falsch,3,falsch,3,richtig,2,falsch,3,falsch,3,richtig,3,richtig,2,"Das Paradoxon zeigt, dass technische Effizienz allein oft nicht ausreicht, um den Ressourcenverbrauch oder CO2-Ausstoss im erwarteten Umfang zu senken. Effizienzmassnahmen koennen zwar den Verbrauch pro Nutzungseinheit reduzieren, aber ein Teil dieses Effekts kann durch veraendertes Verhalten, sinkende Kosten und steigende Nachfrage wieder verloren gehen.",falsch,5,richtig,5,falsch,3,falsch,2,falsch,5
2026/06/21 8:22:53 PM OESZ,VJ,18 bis 24,bachelor,"Faktencheck im ersten Teil war sehr hilfreich - Fehler konnte ich nochmals zusaetzlich durch die Quellen ueberpruefen - Beim zweiten Teil war es so, dass der Anreiz, Informationen gegenzuchecken, deutlich geringer war.",3,1,2,1,3,2,4,3,2,2,2,1,3,4,3,richtig,6,falsch,6,"Gedankenexperiment, welches zeigt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben. Zum Beispiel das klassische Urnenexperiment.",falsch,6,falsch,7,richtig,7,falsch,4,falsch,5,richtig,6,richtig,6,"Besondere Form des Rebound-Effekts, bei dem sich der Verbrauch einer Ressource paradoxerweise erhoeht. ""Effizienter"" ist nicht automatisch ""weniger Verbrauch"", da niedrigere Nutzungswerte die Nachfrage so weit erhoehen koennen, dass der Gesamtverbrauch trotz hoeherer Effizienz steigt",richtig,5,richtig,7,richtig,6,richtig,7,richtig,6
2026/06/13 11:57:52 AM OESZ,Benutzername,18 bis 24,bachelor,,2,2,3,7,7,4,4,3,2,1,1,2,1,3,2,richtig,7,falsch,1,"Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie, das zeigt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben..",falsch,4,falsch,1,richtig,3,falsch,2,falsch,2,richtig,2,richtig,4,"Das Jevons-Paradoxon besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen. Wenn eine Ressource effizienter genutzt werden kann, sinken haeufig die Kosten pro Nutzung. Dadurch wird die Nutzung attraktiver, was einen Teil der erwarteten Einsparungen wieder aufheben kann.",falsch,1,falsch,1,falsch,1,falsch,1,falsch,1
2026/06/14 5:30:04 PM OESZ,Thb,25 bis 34,bachelor,,2,2,3,5,4,3,5,5,4,6,5,3,1,1,1,andere,7,falsch,7,"Das Ellsberg-Paradoxon beschreibt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben. Situationen werden dementsprechend von Menschen anders bewertet, je nachdem wie sie dargestellt werden, auch wenn die Ausgangslage gleich bleibt.",falsch,4,falsch,7,richtig,7,falsch,7,falsch,6,richtig,6,richtig,7,"Das Jevons-Paradoxon besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen.Wenn eine Ressource effizienter genutzt werden kann, sinken haeufig die Kosten pro Nutzung. Dadurch wird die Nutzung attraktiver, was einen Teil der erwarteten Einsparungen wieder aufheben kann.",falsch,4,richtig,3,richtig,4,falsch,1,richtig,3
2026/06/22 10:44:56 AM OESZ,Känguru,18 bis 24,bachelor,,2,2,3,5,2,5,5,5,5,6,6,6,4,3,5,richtig,6,richtig,5,"Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie, das zeigt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben. Im Zentrum steht eine Situation, in der dieselbe Ausgangslage unterschiedlich beschrieben werden kann. Je nachdem, ob eine Gewinnchance als einzelne bekannte Farbe, als unbekannte Farbe oder als Kombination mehrerer Farben praesentiert wird, wirkt dieselbe Urnensituation fuer viele Menschen unterschiedlich attraktiv.",falsch,5,falsch,6,richtig,6,falsch,6,falsch,6,richtig,6,richtig,6,"Das Jevons-Paradoxon besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen. Wenn eine Ressource effizienter genutzt werden kann, sinken haeufig die Kosten pro Nutzung. Dadurch wird die Nutzung attraktiver, was einen Teil der erwarteten Einsparungen wieder aufheben kann.",falsch,3,richtig,4,richtig,5,richtig,4,richtig,3
2026/06/21 3:38:50 PM OESZ,Hen,18 bis 24,bachelor,,2,2,4,3,4,6,2,2,2,2,2,1,2,2,2,richtig,1,falsch,5,"Das Ellsberg-Paradoxon stellte wichtige Modelle der klassischen Oekonomie infrage und fuehrte zur Entwicklung alternativer Theorien des Entscheidungsverhaltens unter Unsicherheit.  Anwendungsbereiche sind unter anderem: Finanzmaerkte,  Medizinische Entscheidungen,  Versicherungen,  Politische Entscheidungen,  Strategisches Management.  In all diesen Bereichen kann es entscheidend sein  ob Wahrscheinlichkeiten offen,  verdeckt,  einzeln oder kombiniert dargestellt werden. Dieselben Entscheidungsgrundlagen koennen je nach Praesentation unterschiedlich interpretiert werden.",richtig,1,falsch,6,richtig,5,falsch,3,falsch,5,richtig, ,richtig,2,"Das Jevons-Paradoxon besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen. Wenn eine Ressource effizienter genutzt werden kann, sinken haeufig die Kosten pro Nutzung. Dadurch wird die Nutzung attraktiver, was einen Teil der erwarteten Einsparungen wieder aufheben kann.",falsch,2,falsch,4,falsch,3,falsch,2,falsch,2
2026/06/12 12:05:13 PM OESZ,adriana,18 bis 24,bachelor,,1,1,5,3,2,3,5,5,5,3,3,3,4,4,4,richtig,4,falsch,4,"Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie, das zeigt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen glelich bleiben. Und Menschen eher dazu tendieren die bereits bekannten Wahrscheinlichkeiten zu waehlen.",richtig,6,richtig,5,richtig,5,richtig,5,richtig,5,richtig,5,richtig,5,"Es besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen. Wenn eine Ressource effizienter genutzt wird werden kann, sinken haeufig die Kosten pro Nutzung. Dadurch wird die Nutzung attraktiver, was einen Teil der erwarteten Einsparungen wieder aufheben kann.",falsch,4,falsch,5,falsch,6,falsch,6,falsch,6
2026/06/15 1:11:09 PM OESZ,MOHSEN,25 bis 34,master,,1,1,5,6,3,2,7,7,7,7,7,7,7,7,7,andere, ,bekannt, ,das beschreibt dass menschen situationen mit bekannten Wahrscheinlichkeiten gegenueber situationen mit Unbekannten Wahrscheinlichkeiten bevorzugen.,richtig,7,richtig,7,falsch,7,richtig,7,richtig,7,richtig,7,richtig,7,technischer Fortschritt zur Steigerung der Energieeffizienz den Gesamtverbrauch einer Ressouce langfristig oft erhoeht statt senkt.,richtig,7,richtig,7,richtig,7,richtig,7,richtig,7
2026/06/19 7:27:46 PM OESZ,Rose,25 bis 34,fulltime,,1,1,2,2,2,5,2,2,2,4,4,4,3,3,3,richtig,4,falsch,6,"Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie. Im Zentrum steht eine Situation, in der dieselbe Ausgangslage unterschiedlich beschrieben werden kann. Je nachdem, ob eine Gewinnchance als einzelne bekannte Farbe, als unbekannte Farbe oder als Kombination mehrerer Farben praesentiert wird, wirkt dieselbe Urnensituation fuer viele Menschen unterschiedlich attraktiv.",falsch,3,richtig,5,richtig,5,richtig,6,falsch,2,richtig,5,richtig,5,"Das Jevons-Paradoxon besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen.",falsch,3,falsch,4,falsch,5,falsch,3,falsch,2
2026/06/21 4:25:00 PM OESZ,airina,18 bis 24,master,,1,1,6,5,4,5,5,5,5,4,4,4,3,3,3,richtig,7,richtig,6,"Es ist ein Gedankenexperiment aus Entscheidungstheorie, dass Menschen bekannte Wahrscheinlichkeiten gegen unbekannten Wahrscheinlichkeit bevorzugen.",richtig,5,richtig,6,richtig,5,richtig,5,richtig,6,bekannt, ,richtig,6,"Das Jevons-Paradoxon besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen.",falsch,5,falsch,5,bekannt, ,richtig,5,richtig,5
