timestamp,username,age,student_status,opt_feedback,group,hl_order,nfc_q1,nfc_q2,nfc_q3,nfc_q4,tias_0_q1,tias_0_q2,tias_0_q3,tias_1_q1,tias_1_q2,tias_1_q3,tias_2_q1,tias_2_q2,tias_2_q3,a_q1,a_q1_conf,a_q2,a_q2_conf,a_q3_text,a_q3,a_q3_conf,a_q4,a_q4_conf,a_q5,a_q5_conf,a_q6,a_q6_conf,a_q7,a_q7_conf,b_q1,b_q1_conf,b_q2,b_q2_conf,b_q3_text,b_q3,b_q3_conf,b_q4,b_q4_conf,b_q5,b_q5_conf,b_q6,b_q6_conf,b_q7,b_q7_conf
2026/06/12 12:31:45 PM OESZ,p_03,25 bis 34,master,,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,richtig,4.0,falsch,4,"Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie, das zeigt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben.",falsch,4.0,falsch,4,richtig,4.0,falsch,4,falsch,4.0,richtig,3,richtig,3.0,"Das Jevons-Paradoxon besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen.",falsch,3.0,falsch,3.0,falsch,1,falsch,4.0,falsch,4
2026/06/15 12:41:27 PM OESZ,p_06,18 bis 24,bachelor,,4.0,2.0,4.0,5.0,6.0,7.0,5.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,richtig,4.0,bekannt, ,"Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie, das zeigt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben.",falsch,5.0,falsch,6,richtig,3.0,bekannt, ,falsch,4.0,richtig,2,richtig,4.0,"as Jevons-Paradoxon besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen. Wenn eine Ressource effizienter genutzt werden kann, sinken haeufig die Kosten pro Nutzung.",falsch,5.0,falsch,3.0,bekannt, ,falsch,4.0,bekannt, 
2026/06/24 12:51:00 PM OESZ,p_15,25 bis 34,bachelor,,4.0,2.0,6.0,3.0,6.0,5.0,3.0,2.0,3.0,7.0,6.0,5.0,7.0,7.0,7.0,richtig,7.0,richtig,7,"Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie, das zeigt, dass Entscheidungen stark davon abhängen, wie Wahrscheinlichkeiten präsentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben.",falsch,7.0,richtig,3,richtig,6.0,richtig,5,richtig,5.0,richtig,6,richtig,6.0,"Das Jevons-Paradoxon besagt, dass Effizienzgewinne häufig teilweise durch zusätzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen. Wenn eine Ressource effizienter genutzt werden kann, sinken häufig die Kosten pro Nutzung. Dadurch wird die Nutzung attraktiver, was einen Teil der erwarteten Einsparungen wieder aufheben kann.",falsch,7.0,falsch,7.0,falsch,7,falsch,7.0,falsch,7
2026/06/15 7:03:30 PM OESZ,p_09,25 bis 34,bachelor,,4.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,richtig,6.0,richtig,5,"Menschen waehlen in unsicheren Situationen haeufig ein Risiko, dessen Wahrscheinlichkeit sie kennen, auch wenn die wahrgenommenen Wahrscheinlichkeiten konstant gehalten werden.",falsch,5.0,richtig,6,richtig,5.0,richtig,4,richtig,5.0,richtig,6,richtig,5.0,"Wenn attraktive Effizienzmassnahmen eingefuehrt werden, kann dies dazu fuehren, dass ein Element haeufiger genutzt wird und somit dem Zweck von mehr Effizienz entgegenwirken.",falsch,7.0,richtig,3.0,falsch,7,richtig,5.0,richtig,6
2026/06/12 12:11:15 PM OESZ,p_02,18 bis 24,bachelor,,3.0,1.0,6.0,1.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,richtig,6.0,andere,5,"Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie, das zeigt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben..",falsch,6.0,bekannt, ,richtig,5.0,falsch,6,falsch,5.0,richtig,5,richtig,5.0,"Das Paradoxon zeigt, dass technische Effizienz allein oft nicht ausreicht, um den Ressourcenverbrauch oder CO2-Ausstoss im erwarteten Umfang zu senken. Effizienzmassnahmen koennen zwar den Verbrauch pro Nutzungseinheit reduzieren, aber ein Teil dieses Effekts kann durch veraendertes Verhalten, sinkende Kosten und steigende Nachfrage wieder verloren gehen.",falsch,5.0,falsch,2.0,bekannt, ,richtig,2.0,bekannt, 
2026/06/15 3:16:19 PM OESZ,p_08,25 bis 34,bachelor,,3.0,1.0,2.0,3.0,4.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,richtig,5.0,falsch,2,Das Ellsberg-Paradoxon stellte wichtige Modelle der klassischen Oekonomie infrage und fuehrte zur Entwicklung alternativer Theorien des Entscheidungsverhaltens unter Unsicherheit.,falsch,3.0,falsch,3,richtig,2.0,falsch,3,falsch,3.0,richtig,3,richtig,2.0,"Das Paradoxon zeigt, dass technische Effizienz allein oft nicht ausreicht, um den Ressourcenverbrauch oder CO2-Ausstoss im erwarteten Umfang zu senken. Effizienzmassnahmen koennen zwar den Verbrauch pro Nutzungseinheit reduzieren, aber ein Teil dieses Effekts kann durch veraendertes Verhalten, sinkende Kosten und steigende Nachfrage wieder verloren gehen.",falsch,5.0,richtig,5.0,falsch,3,falsch,2.0,falsch,5
2026/06/27 3:46:45 PM OESZ,p_17,25 bis 34,self-employed,"1. In Teil B hatte ich einen Bias gegenüber den Bot, da er bereits in Teil A sich als unzuverlässig gezeigt hat. 

2. Ich habe gesehen, dass viele der Quellen die der Bot in Teil B angab zudem nicht funktionierten, was mein Vertrauen weiter gesenkt hat, sodass ich die Fragen zusätzlich in Google gecheckt habe. 

3. In Teil A wiederum habe ich den Quellen, welche der Bot gegeben hat (und funktioniert haben), vertraut, ohne nochmal zusätzlich zu recherchieren.",3.0,1.0,2.0,4.0,5.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,richtig,7.0,richtig,7,"Das Ellsberg-Paradoxon zeigt, dass Menschen Entscheidungen mit bekannten Wahrscheinlichkeiten (Risiko) solchen mit unbekannten Wahrscheinlichkeiten (Ambiguität) systematisch vorziehen.",richtig,7.0,richtig,7,richtig,7.0,richtig,7,richtig,6.0,richtig,7,richtig,7.0,"Grundidee
Effizienz steigt → Eine Ressource wird pro Anwendung sparsamer genutzt.

Kosten pro Nutzung sinken → Die Nutzung wird günstiger und attraktiver.

Nachfrage steigt → Die Ressource wird häufiger oder intensiver eingesetzt.

Absolut-Verbrauch der Ressource steigt, währenddessen die Maschine pro Vorgang effizienter arbeitet. Beobachtet man nur den absoluten Verbrauch, anstelle den verbrauch pro produzierter Einheit, erscheint der Verbrauch höher als zuvor.",richtig,7.0,richtig,7.0,richtig,7,richtig,7.0,richtig,7
2026/06/21 8:22:53 PM OESZ,p_13,18 bis 24,bachelor,"Faktencheck im ersten Teil war sehr hilfreich - Fehler konnte ich nochmals zusaetzlich durch die Quellen ueberpruefen - Beim zweiten Teil war es so, dass der Anreiz, Informationen gegenzuchecken, deutlich geringer war.",3.0,1.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,richtig,6.0,falsch,6,"Gedankenexperiment, welches zeigt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben. Zum Beispiel das klassische Urnenexperiment.",falsch,6.0,falsch,7,richtig,7.0,falsch,4,falsch,5.0,richtig,6,richtig,6.0,"Besondere Form des Rebound-Effekts, bei dem sich der Verbrauch einer Ressource paradoxerweise erhoeht. ""Effizienter"" ist nicht automatisch ""weniger Verbrauch"", da niedrigere Nutzungswerte die Nachfrage so weit erhoehen koennen, dass der Gesamtverbrauch trotz hoeherer Effizienz steigt",richtig,5.0,richtig,7.0,richtig,6,richtig,7.0,richtig,6
2026/06/13 11:57:52 AM OESZ,p_04,18 bis 24,bachelor,,2.0,2.0,3.0,7.0,7.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,richtig,7.0,falsch,1,"Das Ellsberg-Paradoxon ist ein Gedankenexperiment aus der Entscheidungstheorie, das zeigt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben..",falsch,4.0,falsch,1,richtig,3.0,falsch,2,falsch,2.0,richtig,2,richtig,4.0,"Das Jevons-Paradoxon besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen. Wenn eine Ressource effizienter genutzt werden kann, sinken haeufig die Kosten pro Nutzung. Dadurch wird die Nutzung attraktiver, was einen Teil der erwarteten Einsparungen wieder aufheben kann.",falsch,1.0,falsch,1.0,falsch,1,falsch,1.0,falsch,1
2026/06/14 5:30:04 PM OESZ,p_05,25 bis 34,bachelor,,2.0,2.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,6.0,5.0,3.0,1.0,1.0,1.0,andere,7.0,falsch,7,"Das Ellsberg-Paradoxon beschreibt, dass Entscheidungen stark davon abhaengen, wie Wahrscheinlichkeiten praesentiert werden, selbst wenn die zugrunde liegenden Chancen gleich bleiben. Situationen werden dementsprechend von Menschen anders bewertet, je nachdem wie sie dargestellt werden, auch wenn die Ausgangslage gleich bleibt.",falsch,4.0,falsch,7,richtig,7.0,falsch,7,falsch,6.0,richtig,6,richtig,7.0,"Das Jevons-Paradoxon besagt, dass Effizienzgewinne haeufig teilweise durch zusaetzliche Nutzung ausgeglichen werden, sodass die erwarteten Einsparungen geringer ausfallen als angenommen.Wenn eine Ressource effizienter genutzt werden kann, sinken haeufig die Kosten pro Nutzung. Dadurch wird die Nutzung attraktiver, was einen Teil der erwarteten Einsparungen wieder aufheben kann.",falsch,4.0,richtig,3.0,richtig,4,falsch,1.0,richtig,3
